match,home_team,away_team,market_name,player_name,over_price,prop_id
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Daniel Atkinson,21,66704
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Siosifa Talakai,21,66705
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Billy Burns,21,66710
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Ethan Strange,26,65877
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Zac Hosking,26,65883
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Simi Sasagi,26,65886
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Chanel Harris-Tavita,26,65899
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Wayde Egan,26,65902
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Marata Niukore,26,65905
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Jackson Ford,26,65908
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Demitric Vaimauga,26,65909
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Leka Halasima,26,65910
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Mavrik Geyer,26,66687
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Addin Fonua-Blake,26,66698
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Teig Wilton,26,66702
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Hohepa Puru,26,66712
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Jamal Fogarty,34,65878
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Tom Starling,34,65880
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Owen Pattie,34,65885
