match,home_team,away_team,market_name,player_name,line,over_price,prop_id
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Braden Hamlin-Uele,0.5,6.5,67255
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Thomas Hazelton,0.5,6.5,67256
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Jayden Berrell,0.5,6.5,67260
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Ronaldo Mulitalo,1.5,6.5,67364
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Moses Leota,0.5,7,67225
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Mitch Kenny,0.5,7,67226
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Lindsay Smith,0.5,7,67227
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Dylan Edwards,1.5,7,67338
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Mawene Hiroti,1.5,7,67378
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Corey Horsburgh,0.5,7.5,66316
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Joseph Tapine,0.5,7.5,66318
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Morgan Smithies,0.5,7.5,66321
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Charnze N-Klokstad,1.5,7.5,66451
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Tuku Hau Tapuha,0.5,7.5,67257
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Josh Papalii,0.5,8,66324
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Ata Mariota,0.5,8,66325
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Blayke Brailey,0.5,8,67248
